time,total_halts,cumulative_arrivals,cumulative_departed,running_avg_wait,active_veh
8.0,0,0,0,0.0,4
16.0,0,0,0,0.0,4
24.0,0,0,0,0.0,4
32.0,0,0,0,0.0,6
40.0,0,2,0,1.5,4
48.0,1,3,0,2.0,5
56.0,1,3,0,2.0,5
64.0,0,4,0,1.5,6
72.0,0,5,0,4.0,5
80.0,2,6,0,3.3333333333333335,4
88.0,1,6,0,3.3333333333333335,6
96.0,0,8,0,4.25,6
104.0,0,9,0,4.222222222222222,5
112.0,1,10,0,3.8,4
120.0,0,11,0,3.4545454545454546,3
128.0,0,11,0,3.4545454545454546,7
136.0,0,13,0,4.6923076923076925,5
144.0,0,13,0,4.6923076923076925,5
152.0,1,15,0,4.133333333333334,5
160.0,2,15,0,4.133333333333334,5
168.0,2,16,0,4.25,6
176.0,0,16,0,4.25,6
184.0,0,17,0,5.0,7
192.0,0,19,0,5.052631578947368,5
200.0,2,19,0,5.052631578947368,5
208.0,1,20,0,4.85,6
216.0,0,22,0,5.045454545454546,6
224.0,0,23,0,5.130434782608695,5
232.0,1,23,0,5.130434782608695,5
240.0,1,25,0,5.12,3
248.0,0,25,0,5.12,7
256.0,0,26,0,5.269230769230769,6
264.0,0,28,0,5.178571428571429,4
272.0,1,28,0,5.178571428571429,6
280.0,1,29,0,5.103448275862069,5
288.0,1,30,0,5.033333333333333,6
296.0,0,31,0,5.161290322580645,5
304.0,0,32,0,5.21875,6
312.0,0,33,0,5.363636363636363,5
320.0,2,33,0,5.363636363636363,5
328.0,1,34,0,5.294117647058823,6
336.0,0,35,0,5.4,7
344.0,0,37,0,5.513513513513513,5
352.0,0,38,0,5.368421052631579,4
360.0,1,38,0,5.368421052631579,4
368.0,0,39,0,5.3076923076923075,7
376.0,1,41,0,5.2682926829268295,5
384.0,1,41,0,5.2682926829268295,5
392.0,0,41,0,5.2682926829268295,7
400.0,0,43,0,5.395348837209302,5
408.0,2,45,0,5.288888888888889,5
416.0,1,45,0,5.288888888888889,5
424.0,0,45,0,5.288888888888889,7
432.0,0,47,0,5.468085106382978,5
440.0,2,49,0,5.3061224489795915,3
448.0,1,49,0,5.3061224489795915,5
456.0,0,49,0,5.3061224489795915,7
464.0,0,51,0,5.509803921568627,5
472.0,1,52,0,5.423076923076923,4
480.0,1,53,0,5.377358490566038,3
488.0,0,53,0,5.377358490566038,7
496.0,0,55,0,5.490909090909091,5
504.0,0,56,0,5.410714285714286,4
512.0,1,56,0,5.410714285714286,6
520.0,1,57,0,5.368421052631579,5
528.0,1,58,0,5.327586206896552,6
536.0,0,59,0,5.389830508474576,5
544.0,0,60,0,5.4,6
552.0,0,61,0,5.311475409836065,5
560.0,1,62,0,5.274193548387097,4
568.0,0,63,0,5.222222222222222,5
576.0,0,64,0,5.21875,6
584.0,0,65,0,5.246153846153846,5
592.0,1,66,0,5.181818181818182,4
600.0,1,67,0,5.149253731343284,3
