time,tl_id,chosen_action,pressure,upstream_sum,active_veh
6.0,J1,0,0,0,4
6.0,J2,0,0,0,4
6.0,J3,0,0,0,4
6.0,J4,0,0,0,4
11.0,J1,0,0,0,4
11.0,J2,0,0,0,4
11.0,J3,0,0,0,4
11.0,J4,0,0,0,4
16.0,J1,0,0,0,4
16.0,J2,0,0,0,4
16.0,J3,0,0,0,4
16.0,J4,0,0,0,4
21.0,J1,1,1,1,4
21.0,J2,0,0,0,4
21.0,J3,0,0,0,4
21.0,J4,1,1,1,4
26.0,J1,1,1,1,4
26.0,J2,0,0,0,4
26.0,J3,0,0,0,4
26.0,J4,1,0,0,4
31.0,J1,3,3,3,5
31.0,J2,0,0,0,5
31.0,J3,0,0,0,5
31.0,J4,0,0,0,5
36.0,J1,3,0,0,5
36.0,J2,0,0,0,5
36.0,J3,0,0,0,5
36.0,J4,0,0,0,5
41.0,J1,0,0,0,7
41.0,J2,0,1,1,7
41.0,J3,0,0,0,7
41.0,J4,0,1,1,7
46.0,J1,0,0,0,6
46.0,J2,0,0,0,6
46.0,J3,0,0,0,6
46.0,J4,0,0,0,6
51.0,J1,1,1,1,5
51.0,J2,0,0,0,5
51.0,J3,0,0,0,5
51.0,J4,0,0,0,5
56.0,J1,1,1,1,5
56.0,J2,0,0,0,5
56.0,J3,0,0,0,5
56.0,J4,0,0,0,5
61.0,J1,3,3,3,7
61.0,J2,0,1,1,7
61.0,J3,0,0,0,7
61.0,J4,1,1,1,7
66.0,J1,3,0,0,7
66.0,J2,0,1,1,7
66.0,J3,0,0,0,7
66.0,J4,1,0,0,7
71.0,J1,0,0,0,6
71.0,J2,0,1,1,6
71.0,J3,1,1,1,6
71.0,J4,0,0,0,6
76.0,J1,0,1,1,6
76.0,J2,0,1,1,6
76.0,J3,1,0,0,6
76.0,J4,0,0,0,6
81.0,J1,1,1,1,8
81.0,J2,1,2,2,8
81.0,J3,0,0,0,8
81.0,J4,0,1,1,8
86.0,J1,1,1,1,7
86.0,J2,1,0,0,7
86.0,J3,0,0,0,7
86.0,J4,0,0,0,7
91.0,J1,3,3,3,9
91.0,J2,0,0,0,9
91.0,J3,0,0,0,9
91.0,J4,0,0,0,9
96.0,J1,3,0,0,8
96.0,J2,0,0,0,8
96.0,J3,0,0,0,8
96.0,J4,0,0,0,8
101.0,J1,0,1,1,7
101.0,J2,1,0,0,7
101.0,J3,0,0,0,7
101.0,J4,1,1,1,7
106.0,J1,0,1,1,7
106.0,J2,1,0,0,7
106.0,J3,1,1,1,7
106.0,J4,1,0,0,7
111.0,J1,1,1,1,7
111.0,J2,0,0,0,7
111.0,J3,1,0,0,7
111.0,J4,0,0,0,7
116.0,J1,1,1,1,6
116.0,J2,0,0,0,6
116.0,J3,0,0,0,6
116.0,J4,0,0,0,6
121.0,J1,3,3,3,8
121.0,J2,1,2,2,8
121.0,J3,0,0,0,8
121.0,J4,0,1,1,8
126.0,J1,3,0,0,8
126.0,J2,1,0,0,8
126.0,J3,0,0,0,8
126.0,J4,0,0,0,8
131.0,J1,0,0,0,8
131.0,J2,0,0,0,8
131.0,J3,1,1,1,8
131.0,J4,0,0,0,8
136.0,J1,0,0,0,6
136.0,J2,0,0,0,6
136.0,J3,1,0,0,6
136.0,J4,0,0,0,6
141.0,J1,1,1,1,6
141.0,J2,0,0,0,6
141.0,J3,0,0,0,6
141.0,J4,1,1,1,6
146.0,J1,1,0,0,5
146.0,J2,0,0,0,5
146.0,J3,0,0,0,5
146.0,J4,1,0,0,5
151.0,J1,0,3,3,7
151.0,J2,3,1,1,7
151.0,J3,0,0,0,7
151.0,J4,0,0,0,7
156.0,J1,0,0,0,7
156.0,J2,3,0,0,7
156.0,J3,0,0,0,7
156.0,J4,0,0,0,7
161.0,J1,0,0,0,9
161.0,J2,1,2,2,9
161.0,J3,1,1,1,9
161.0,J4,0,1,1,9
166.0,J1,0,0,0,7
166.0,J2,1,0,0,7
166.0,J3,1,0,0,7
166.0,J4,0,0,0,7
171.0,J1,1,1,1,7
171.0,J2,0,0,0,7
171.0,J3,0,0,0,7
171.0,J4,0,0,0,7
176.0,J1,1,0,0,4
176.0,J2,0,0,0,4
176.0,J3,0,0,0,4
176.0,J4,0,0,0,4
181.0,J1,0,2,2,6
181.0,J2,3,1,1,6
181.0,J3,0,0,0,6
181.0,J4,1,1,1,6
186.0,J1,0,0,0,6
186.0,J2,3,0,0,6
186.0,J3,0,0,0,6
186.0,J4,1,0,0,6
191.0,J1,0,0,0,6
191.0,J2,0,0,0,6
191.0,J3,1,1,1,6
191.0,J4,0,0,0,6
196.0,J1,0,0,0,6
196.0,J2,0,0,0,6
196.0,J3,1,0,0,6
196.0,J4,0,0,0,6
201.0,J1,1,1,1,7
201.0,J2,1,2,2,7
201.0,J3,0,0,0,7
201.0,J4,0,1,1,7
206.0,J1,1,0,0,5
206.0,J2,1,0,0,5
206.0,J3,0,0,0,5
206.0,J4,0,0,0,5
211.0,J1,0,2,2,7
211.0,J2,3,1,1,7
211.0,J3,0,0,0,7
211.0,J4,0,0,0,7
216.0,J1,0,0,0,6
216.0,J2,3,0,0,6
216.0,J3,0,0,0,6
216.0,J4,0,0,0,6
221.0,J1,0,0,0,6
221.0,J2,0,1,1,6
221.0,J3,1,1,1,6
221.0,J4,1,1,1,6
226.0,J1,0,0,0,6
226.0,J2,0,0,0,6
226.0,J3,1,0,0,6
226.0,J4,1,0,0,6
231.0,J1,1,1,1,6
231.0,J2,0,0,0,6
231.0,J3,0,0,0,6
231.0,J4,0,0,0,6
236.0,J1,1,0,0,4
236.0,J2,0,0,0,4
236.0,J3,0,0,0,4
236.0,J4,0,0,0,4
241.0,J1,0,3,3,8
241.0,J2,1,2,2,8
241.0,J3,0,0,0,8
241.0,J4,0,1,1,8
246.0,J1,0,0,0,8
246.0,J2,1,1,1,8
246.0,J3,0,0,0,8
246.0,J4,0,0,0,8
251.0,J1,0,0,0,8
251.0,J2,3,1,1,8
251.0,J3,1,1,1,8
251.0,J4,0,0,0,8
256.0,J1,0,0,0,6
256.0,J2,3,0,0,6
256.0,J3,1,0,0,6
256.0,J4,0,0,0,6
261.0,J1,1,1,1,6
261.0,J2,0,1,1,6
261.0,J3,0,0,0,6
261.0,J4,1,1,1,6
266.0,J1,1,0,0,5
266.0,J2,0,0,0,5
266.0,J3,0,0,0,5
266.0,J4,1,0,0,5
271.0,J1,0,2,2,7
271.0,J2,3,1,1,7
271.0,J3,0,0,0,7
271.0,J4,0,0,0,7
276.0,J1,0,0,0,6
276.0,J2,3,0,0,6
276.0,J3,0,0,0,6
276.0,J4,0,0,0,6
281.0,J1,0,0,0,8
281.0,J2,1,2,2,8
281.0,J3,1,1,1,8
281.0,J4,0,1,1,8
286.0,J1,3,1,1,8
286.0,J2,1,0,0,8
286.0,J3,1,0,0,8
286.0,J4,0,0,0,8
291.0,J1,3,1,1,7
291.0,J2,0,0,0,7
291.0,J3,0,0,0,7
291.0,J4,0,0,0,7
296.0,J1,1,1,1,4
296.0,J2,0,0,0,4
296.0,J3,0,0,0,4
296.0,J4,0,0,0,4
301.0,J1,1,2,2,6
301.0,J2,0,0,0,6
301.0,J3,0,0,0,6
301.0,J4,1,1,1,6
306.0,J1,0,0,0,6
306.0,J2,0,0,0,6
306.0,J3,0,0,0,6
306.0,J4,1,0,0,6
311.0,J1,0,0,0,6
