time,total_halts,cumulative_arrivals,running_avg_wait,per_tl_halts,active_veh
1.0,4,0,0.0,2;1;0;1,4
2.0,0,0,0.0,0;0;0;0,4
3.0,0,0,0.0,0;0;0;0,4
4.0,0,0,0.0,0;0;0;0,4
5.0,0,0,0.0,0;0;0;0,4
6.0,0,0,0.0,0;0;0;0,4
7.0,0,0,0.0,0;0;0;0,4
8.0,0,0,0.0,0;0;0;0,4
9.0,0,0,0.0,0;0;0;0,4
10.0,0,0,0.0,0;0;0;0,4
11.0,0,0,0.0,0;0;0;0,4
12.0,0,0,0.0,0;0;0;0,4
13.0,0,0,0.0,0;0;0;0,4
14.0,0,0,0.0,0;0;0;0,4
15.0,2,0,0.0,1;0;0;1,4
16.0,0,0,0.0,0;0;0;0,4
17.0,1,0,0.0,1;0;0;0,4
18.0,2,0,0.0,1;0;0;1,4
19.0,3,0,0.0,2;0;0;1,4
20.0,3,0,0.0,2;0;0;1,4
21.0,3,0,0.0,2;0;0;1,4
22.0,1,0,0.0,1;0;0;0,4
23.0,1,0,0.0,1;0;0;0,4
24.0,1,0,0.0,1;0;0;0,4
25.0,1,0,0.0,1;0;0;0,4
26.0,1,0,0.0,1;0;0;0,4
27.0,1,0,0.0,1;0;0;0,4
28.0,1,0,0.0,1;0;0;0,4
29.0,1,1,0.0,1;0;0;0,3
30.0,1,1,0.0,1;0;0;0,3
31.0,3,1,0.0,3;0;0;0,5
32.0,0,1,0.0,0;0;0;0,5
33.0,0,1,0.0,0;0;0;0,5
34.0,0,1,0.0,0;0;0;0,5
35.0,0,1,0.0,0;0;0;0,5
36.0,0,1,0.0,0;0;0;0,5
37.0,0,1,0.0,0;0;0;0,5
38.0,0,1,0.0,0;0;0;0,5
39.0,0,1,0.0,0;0;0;0,5
40.0,0,1,0.0,0;0;0;0,5
41.0,2,1,0.0,0;1;0;1,7
42.0,0,1,0.0,0;0;0;0,7
43.0,0,1,0.0,0;0;0;0,7
44.0,0,2,2.0,0;0;0;0,6
45.0,2,2,2.0,2;0;0;0,6
46.0,0,2,2.0,0;0;0;0,6
47.0,0,3,3.0,0;0;0;0,5
48.0,2,3,3.0,2;0;0;0,5
49.0,2,3,3.0,2;0;0;0,5
50.0,2,3,3.0,2;0;0;0,5
51.0,2,3,3.0,2;0;0;0,5
52.0,1,3,3.0,1;0;0;0,5
53.0,1,3,3.0,1;0;0;0,5
54.0,1,3,3.0,1;0;0;0,5
55.0,3,3,3.0,1;1;0;1,5
56.0,1,3,3.0,1;0;0;0,5
57.0,1,3,3.0,1;0;0;0,5
58.0,3,3,3.0,1;1;0;1,5
59.0,3,3,3.0,1;1;0;1,5
60.0,3,3,3.0,1;1;0;1,5
61.0,5,3,3.0,3;1;0;1,7
62.0,1,3,3.0,0;1;0;0,7
63.0,1,3,3.0,0;1;0;0,7
64.0,1,3,3.0,0;1;0;0,7
65.0,1,3,3.0,0;1;0;0,7
66.0,1,3,3.0,0;1;0;0,7
67.0,1,4,6.0,0;1;0;0,6
68.0,2,4,6.0,0;1;1;0,6
69.0,1,4,6.0,0;1;0;0,6
70.0,1,4,6.0,0;1;0;0,6
