time,total_halts,cumulative_arrivals,running_avg_wait,per_tl_halts,active_veh
1.0,4,0,0.0,2;1;0;1,4
2.0,0,0,0.0,0;0;0;0,4
3.0,0,0,0.0,0;0;0;0,4
4.0,0,0,0.0,0;0;0;0,4
5.0,0,0,0.0,0;0;0;0,4
6.0,0,0,0.0,0;0;0;0,4
7.0,0,0,0.0,0;0;0;0,4
8.0,0,0,0.0,0;0;0;0,4
9.0,0,0,0.0,0;0;0;0,4
10.0,0,0,0.0,0;0;0;0,4
11.0,0,0,0.0,0;0;0;0,4
12.0,0,0,0.0,0;0;0;0,4
13.0,0,0,0.0,0;0;0;0,4
14.0,0,0,0.0,0;0;0;0,4
15.0,2,0,0.0,1;0;0;1,4
16.0,0,0,0.0,0;0;0;0,4
17.0,1,0,0.0,1;0;0;0,4
18.0,2,0,0.0,1;0;0;1,4
19.0,3,0,0.0,2;0;0;1,4
20.0,3,0,0.0,2;0;0;1,4
21.0,3,0,0.0,2;0;0;1,4
22.0,3,0,0.0,2;0;0;1,4
23.0,3,0,0.0,2;0;0;1,4
24.0,3,0,0.0,2;0;0;1,4
25.0,3,0,0.0,2;0;0;1,4
26.0,3,0,0.0,2;0;0;1,4
27.0,3,0,0.0,2;0;0;1,4
28.0,3,0,0.0,2;0;0;1,4
29.0,1,0,0.0,1;0;0;0,4
30.0,1,0,0.0,1;0;0;0,4
31.0,3,0,0.0,3;0;0;0,6
32.0,1,0,0.0,1;0;0;0,6
33.0,1,0,0.0,1;0;0;0,6
34.0,1,0,0.0,1;0;0;0,6
35.0,1,0,0.0,1;0;0;0,6
36.0,1,1,0.0,1;0;0;0,5
37.0,1,1,0.0,1;0;0;0,5
38.0,1,1,0.0,1;0;0;0,5
39.0,1,1,0.0,1;0;0;0,5
40.0,1,1,0.0,1;0;0;0,5
41.0,3,1,0.0,1;1;0;1,7
42.0,1,1,0.0,1;0;0;0,7
43.0,1,1,0.0,1;0;0;0,7
44.0,1,1,0.0,1;0;0;0,7
45.0,1,1,0.0,1;0;0;0,7
46.0,1,1,0.0,1;0;0;0,7
47.0,2,1,0.0,2;0;0;0,7
48.0,2,1,0.0,2;0;0;0,7
49.0,2,1,0.0,2;0;0;0,7
50.0,2,1,0.0,2;0;0;0,7
51.0,2,1,0.0,2;0;0;0,7
52.0,2,1,0.0,2;0;0;0,7
53.0,2,1,0.0,2;0;0;0,7
54.0,2,2,6.0,2;0;0;0,6
55.0,3,3,7.666666666666667,2;1;0;0,5
56.0,2,3,7.666666666666667,2;0;0;0,5
57.0,2,3,7.666666666666667,2;0;0;0,5
58.0,4,3,7.666666666666667,2;1;1;0,5
59.0,3,3,7.666666666666667,2;1;0;0,5
60.0,3,3,7.666666666666667,2;1;0;0,5
61.0,6,3,7.666666666666667,4;1;1;0,7
62.0,4,3,7.666666666666667,2;1;1;0,7
63.0,4,3,7.666666666666667,2;1;1;0,7
64.0,3,3,7.666666666666667,1;1;1;0,7
65.0,2,3,7.666666666666667,0;1;1;0,7
66.0,2,3,7.666666666666667,0;1;1;0,7
67.0,2,3,7.666666666666667,0;1;1;0,7
