time,total_halts,cumulative_arrivals,cumulative_departed,running_avg_wait,active_veh
5.0,0,0,0,0.0,4
10.0,0,0,0,0.0,4
15.0,2,0,0,0.0,4
20.0,2,0,0,0.0,4
25.0,2,0,0,0.0,4
30.0,2,0,0,0.0,4
35.0,2,1,0,0.0,5
40.0,2,2,0,0.0,4
45.0,2,2,0,0.0,6
50.0,3,2,0,0.0,6
55.0,3,2,0,0.0,6
60.0,4,3,0,0.0,5
65.0,4,3,0,0.0,7
70.0,4,3,0,0.0,7
75.0,4,3,0,0.0,7
80.0,5,4,0,0.0,6
85.0,5,4,0,0.0,8
90.0,5,4,0,0.0,8
95.0,5,5,0,0.0,9
100.0,6,5,0,0.0,9
105.0,6,5,0,0.0,9
110.0,7,5,0,0.0,9
115.0,7,5,0,0.0,9
120.0,7,7,0,0.0,7
125.0,7,7,0,0.0,11
130.0,7,7,0,0.0,11
135.0,7,7,0,0.0,11
140.0,9,7,0,0.0,11
145.0,9,7,0,0.0,11
150.0,9,7,0,0.0,11
155.0,9,8,0,0.0,12
160.0,9,9,0,0.0,11
165.0,9,9,0,0.0,13
170.0,10,9,0,0.0,13
175.0,10,9,0,0.0,13
180.0,11,10,0,0.0,12
185.0,11,10,0,0.0,14
190.0,11,10,0,0.0,14
195.0,11,10,0,0.0,14
200.0,12,11,0,0.0,13
205.0,12,11,0,0.0,15
210.0,12,12,0,0.0,14
215.0,13,12,0,0.0,16
220.0,13,12,0,0.0,16
225.0,14,12,0,0.0,16
230.0,14,12,0,0.0,16
235.0,14,12,0,0.0,16
240.0,14,13,0,0.0,15
245.0,14,14,0,0.0,18
250.0,14,14,0,0.0,18
255.0,15,14,0,0.0,18
260.0,16,14,0,0.0,18
265.0,16,14,0,0.0,18
270.0,16,15,0,0.0,17
275.0,16,15,0,0.0,19
280.0,16,16,0,0.0,18
285.0,17,16,0,0.0,20
290.0,17,16,0,0.0,20
295.0,18,16,0,0.0,20
300.0,18,17,0,0.0,19
305.0,18,17,0,0.0,21
310.0,18,17,0,0.0,21
315.0,19,17,0,0.0,21
320.0,19,18,0,0.0,20
325.0,19,18,0,0.0,22
330.0,19,19,0,0.0,21
335.0,20,19,0,0.0,23
340.0,20,19,0,0.0,23
345.0,21,19,0,0.0,23
350.0,21,19,0,0.0,23
355.0,21,19,0,0.0,23
360.0,21,21,0,0.0,21
365.0,21,21,0,0.0,25
370.0,21,21,0,0.0,25
375.0,23,21,0,0.0,25
380.0,23,21,0,0.0,25
385.0,23,21,0,0.0,25
390.0,23,22,0,0.0,24
395.0,23,22,0,0.0,26
400.0,23,23,0,0.0,25
405.0,24,23,0,0.0,27
410.0,24,23,0,0.0,27
415.0,25,23,0,0.0,27
420.0,25,24,0,0.0,26
425.0,25,24,0,0.0,28
430.0,25,24,0,0.0,28
435.0,26,24,0,0.0,28
440.0,26,25,0,0.0,27
445.0,26,25,0,0.0,29
450.0,27,26,0,0.0,28
455.0,27,26,0,0.0,30
460.0,27,26,0,0.0,30
465.0,28,26,0,0.0,30
470.0,28,26,0,0.0,30
