metric,group_a,group_b,mean_a,mean_b,t_stat,p_value,n_a,n_b,significant_p<0.05
total_apples_collected,individual,mixed,984.3200,985.3600,-0.1836,0.8598,5,5,no
total_apples_collected,individual,team,984.3200,980.9600,0.6891,0.5267,5,5,no
total_apples_collected,mixed,team,985.3600,980.9600,1.4204,0.2200,5,5,no
total_apples_collected,individual,FixedGreedy,984.3200,1750.2000,-66.8718,0.0000,5,5,yes
total_apples_collected,mixed,FixedGreedy,985.3600,1750.2000,-70.7114,0.0000,5,5,yes
total_apples_collected,team,FixedGreedy,980.9600,1750.2000,-73.7877,0.0000,5,5,yes
sustainability,individual,mixed,0.9665,0.9673,-0.3991,0.7025,5,5,no
sustainability,individual,team,0.9665,0.9679,-0.9407,0.3745,5,5,no
sustainability,mixed,team,0.9673,0.9679,-0.3013,0.7722,5,5,no
sustainability,individual,FixedGreedy,0.9665,0.7949,17.5421,0.0001,5,5,yes
sustainability,mixed,FixedGreedy,0.9673,0.7949,17.4435,0.0000,5,5,yes
sustainability,team,FixedGreedy,0.9679,0.7949,17.6792,0.0000,5,5,yes
gini_coefficient,individual,mixed,0.0138,0.0141,-0.2857,0.7823,5,5,no
gini_coefficient,individual,team,0.0138,0.0142,-0.3314,0.7489,5,5,no
gini_coefficient,mixed,team,0.0141,0.0142,-0.0431,0.9667,5,5,no
gini_coefficient,individual,FixedGreedy,0.0138,0.0086,3.9224,0.0045,5,5,yes
gini_coefficient,mixed,FixedGreedy,0.0141,0.0086,4.2762,0.0028,5,5,yes
gini_coefficient,team,FixedGreedy,0.0142,0.0086,4.3645,0.0025,5,5,yes
time_to_depletion,individual,mixed,1000.0000,1000.0000,nan,nan,5,5,no
time_to_depletion,individual,team,1000.0000,1000.0000,nan,nan,5,5,no
time_to_depletion,mixed,team,1000.0000,1000.0000,nan,nan,5,5,no
time_to_depletion,individual,FixedGreedy,1000.0000,1000.0000,nan,nan,5,5,no
time_to_depletion,mixed,FixedGreedy,1000.0000,1000.0000,nan,nan,5,5,no
time_to_depletion,team,FixedGreedy,1000.0000,1000.0000,nan,nan,5,5,no
